YEAR,MONTH,STATNAME,STATCD,DISTNAME,DISTCD,EVENT_NAME,EVENT_CODE
2010,12,TAMIL NADU,33,PERAMBALUR,3316,health_care,2
2010,1,DAMAN & DIU,25,DAMAN,2502,education,3
2010,5,UTTARAKHAND,5,RUDRAPRAYAG,503,poverty,1
2010,7,GOA,30,NORTH GOA,3001,donations,4
2010,11,WEST BENGAL,19,KOCH BIHAR,1903,poverty,1
2010,4,HIMACHAL PRADESH,2,MANDI,205,education,3
2010,5,DELHI,7,NORTH DELHI,702,poverty,1
2010,1,MANIPUR,14,TAMENGLONG,1402,donations,4
2010,5,GUJARAT,24,PANCH MAHALS,2417,health_care,2
2010,5,NAGALAND,13,MON,1301,education,3
2010,4,HARYANA,6,MEWAT,620,health_care,2
2010,7,HIMACHAL PRADESH,2,MANDI,205,education,3
2010,5,BIHAR,10,BANKA,1023,health_care,2
2010,6,MAHARASHTRA,27,GADCHIROLI,2712,education,3
2010,7,KERALA,32,PATHANAMTHITTA,3212,education,3
2010,7,HIMACHAL PRADESH,2,MANDI,205,health_care,2
2010,4,JHARKHAND,20,CHATRA,2003,donations,4
2010,2,RAJASTHAN,8,DUNGARPUR,827,education,3
2010,9,CHHATTISGARH,22,JASHPUR,2203,education,3
2010,1,TAMIL NADU,33,DHARMAPURI,3305,donations,4
2010,7,LAKSHADWEEP,31,LAKSHADWEEP,3101,education,3
2010,2,SIKKIM,11,WEST SIKKIM,1102,poverty,1
2010,10,A & N ISLANDS,35,MIDDLE AND NORTH ANDAMANS,3503,health_care,2
2010,8,UTTARAKHAND,5,UTTARKASHI,501,health_care,2
2010,8,JAMMU & KASHMIR,1,RAMBAN,118,health_care,2
2010,6,UTTARAKHAND,5,BAGESHWAR,508,poverty,1
2010,3,TRIPURA,16,SOUTH TRIPURA,1602,education,3
2010,7,MADHYA PRADESH,23,DINDORI,2341,donations,4
2010,5,TRIPURA,16,SOUTH TRIPURA,1602,poverty,1
2010,6,KARNATAKA,29,KODAGU,2925,donations,4
2010,1,UTTAR PRADESH,9,KUSHINAGAR,959,education,3
2010,1,MIZORAM,15,CHAMPHAI,1504,education,3
2010,6,MANIPUR,14,SENAPATI,1401,poverty,1
2010,3,SIKKIM,11,SOUTH SIKKIM,1103,donations,4
2010,12,MADHYA PRADESH,23,SIDHI,2317,education,3
2010,9,UTTAR PRADESH,9,KUSHINAGAR,959,poverty,1
2010,11,MIZORAM,15,CHAMPHAI,1504,education,3
2010,5,DELHI,7,NORTH DELHI,702,education,3
2010,2,DAMAN & DIU,25,DIU,2501,education,3
2010,1,DAMAN & DIU,25,DAMAN,2502,donations,4
2010,7,LAKSHADWEEP,31,LAKSHADWEEP,3101,health_care,2
2010,2,GUJARAT,24,VADODARA,2419,health_care,2
2010,9,ODISHA,21,NUAPADA,2125,education,3
2010,12,KERALA,32,WAYANAD,3203,education,3
2010,8,ARUNACHAL PRADESH,12,LOWER DIBANG VALLEY,1215,donations,4
2010,6,ASSAM,18,BAKSA,1824,donations,4
2010,10,TELANGANA,36,NIZAMABAD,3602,education,3
2010,3,CHHATTISGARH,22,SURGUJA,2202,health_care,2
2010,8,HIMACHAL PRADESH,2,MANDI,205,donations,4
2010,3,HIMACHAL PRADESH,2,KANGRA,202,education,3
2010,8,JHARKHAND,20,CHATRA,2003,poverty,1
2010,7,HARYANA,6,FATEHABAD,610,health_care,2
2010,9,MEGHALAYA,17,SOUTH GARO HILLS,1703,poverty,1
2010,11,TAMIL NADU,33,PERAMBALUR,3316,education,3
2010,3,MAHARASHTRA,27,MUMBAI (SUBURBAN),2722,health_care,2
2010,9,PUNJAB,3,RUPNAGAR,307,poverty,1
2010,4,UTTARAKHAND,5,BAGESHWAR,508,health_care,2
2010,7,JAMMU & KASHMIR,1,KISHTWAR,117,health_care,2
2010,9,TAMIL NADU,33,DHARMAPURI,3305,education,3
2010,2,MIZORAM,15,LAWNGTLAI,1507,health_care,2
2010,6,PUDUCHERRY,34,PONDICHERRY,3402,donations,4
2010,10,KERALA,32,IDUKKI,3209,health_care,2
2010,6,KARNATAKA,29,MANDYA,2922,health_care,2
2010,6,PUNJAB,3,HOSHIARPUR,305,health_care,2
2010,5,MANIPUR,14,CHURACHANDPUR,1403,health_care,2
2010,4,PUDUCHERRY,34,PONDICHERRY,3402,health_care,2
2010,6,MAHARASHTRA,27,MUMBAI (SUBURBAN),2722,education,3
2010,8,NAGALAND,13,MON,1301,education,3
2010,7,TAMIL NADU,33,PERAMBALUR,3316,health_care,2
2010,8,BIHAR,10,SAMASTIPUR,1019,health_care,2
2010,5,WEST BENGAL,19,KOCH BIHAR,1903,education,3
2010,10,RAJASTHAN,8,DUNGARPUR,827,health_care,2
2010,7,TELANGANA,36,MAHBUBNAGAR,3607,health_care,2
2010,1,BIHAR,10,BANKA,1023,education,3
2010,6,ANDHRA PRADESH,28,WEST GODAVARI,2815,donations,4
2010,6,WEST BENGAL,19,KOCH BIHAR,1903,poverty,1
2010,10,HIMACHAL PRADESH,2,MANDI,205,poverty,1
2010,6,PUDUCHERRY,34,PONDICHERRY,3402,health_care,2
2010,12,BIHAR,10,MADHUBANI,1005,poverty,1
2010,9,DAMAN & DIU,25,DAMAN,2502,poverty,1
2010,4,ARUNACHAL PRADESH,12,LOWER DIBANG VALLEY,1215,health_care,2
2010,9,TELANGANA,36,NALGONDA,3608,health_care,2
2010,2,GUJARAT,24,VALSAD,2425,education,3
2010,8,KARNATAKA,29,KODAGU,2925,education,3
2010,12,PUDUCHERRY,34,KARAIKAL,3404,donations,4
2010,4,HIMACHAL PRADESH,2,MANDI,205,poverty,1
2010,5,GUJARAT,24,VALSAD,2425,education,3
2010,2,GOA,30,NORTH GOA,3001,donations,4
2010,3,SIKKIM,11,WEST SIKKIM,1102,donations,4
2010,2,UTTAR PRADESH,9,KUSHINAGAR,959,health_care,2
2010,6,DELHI,7,CENTRAL DELHI,706,donations,4
2010,3,WEST BENGAL,19,KOCH BIHAR,1903,education,3
2010,9,SIKKIM,11,WEST SIKKIM,1102,health_care,2
2010,10,DELHI,7,NEW DELHI,705,donations,4
2010,11,MIZORAM,15,CHAMPHAI,1504,donations,4
2010,11,CHHATTISGARH,22,JASHPUR,2203,poverty,1
2010,11,UTTAR PRADESH,9,KUSHINAGAR,959,poverty,1
2010,5,MEGHALAYA,17,JAINTIA HILLS,1707,donations,4
2010,8,JHARKHAND,20,GODDA,2008,donations,4
2010,3,SIKKIM,11,WEST SIKKIM,1102,education,3
2010,4,SIKKIM,11,NORTH SIKKIM,1101,education,3
2010,5,PUNJAB,3,HOSHIARPUR,305,health_care,2
2010,10,UTTAR PRADESH,9,KUSHINAGAR,959,donations,4
2010,12,PUNJAB,3,HOSHIARPUR,305,donations,4
2010,1,TELANGANA,36,NALGONDA,3608,education,3
2010,5,NAGALAND,13,PHEK,1308,poverty,1
2010,9,TAMIL NADU,33,DHARMAPURI,3305,health_care,2
2010,1,GOA,30,SOUTH GOA,3002,donations,4
2010,9,BIHAR,10,BANKA,1023,health_care,2
2010,12,HIMACHAL PRADESH,2,MANDI,205,health_care,2
2010,3,NAGALAND,13,KIPHIRE,1310,poverty,1
2010,3,GUJARAT,24,VALSAD,2425,health_care,2
2010,9,KERALA,32,IDUKKI,3209,health_care,2
2010,5,A & N ISLANDS,35,NICOBARS,3502,education,3
2010,10,MANIPUR,14,CHURACHANDPUR,1403,donations,4
2010,6,UTTARAKHAND,5,UTTARKASHI,501,poverty,1
2010,10,ARUNACHAL PRADESH,12,WEST KAMENG,1202,donations,4
2010,3,PUDUCHERRY,34,KARAIKAL,3404,health_care,2
2010,6,ASSAM,18,UDALGURI,1826,education,3
2010,8,MEGHALAYA,17,RI BHOI,1705,health_care,2
2010,11,MAHARASHTRA,27,MUMBAI II,2723,education,3
2010,12,NAGALAND,13,KIPHIRE,1310,donations,4
2010,3,GUJARAT,24,VADODARA,2419,poverty,1
2010,10,JAMMU & KASHMIR,1,RAMBAN,118,health_care,2
2010,9,MADHYA PRADESH,23,DINDORI,2341,poverty,1
2010,5,MADHYA PRADESH,23,SIDHI,2317,health_care,2
2010,1,MAHARASHTRA,27,MUMBAI (SUBURBAN),2722,donations,4
2010,9,HARYANA,6,MAHENDRAGARH,616,donations,4
2010,2,MEGHALAYA,17,JAINTIA HILLS,1707,education,3
2010,7,CHHATTISGARH,22,SURGUJA,2202,poverty,1
2010,4,UTTAR PRADESH,9,KUSHINAGAR,959,poverty,1
2010,1,BIHAR,10,SAMASTIPUR,1019,donations,4
2010,1,WEST BENGAL,19,BANKURA,1913,donations,4
2010,2,ODISHA,21,KENDRAPARA,2110,donations,4
2010,3,GUJARAT,24,VALSAD,2425,health_care,2
2010,8,MANIPUR,14,TAMENGLONG,1402,poverty,1
2010,2,CHANDIGARH,4,CHANDIGARH,401,health_care,2
2010,2,MEGHALAYA,17,RI BHOI,1705,education,3
2010,7,MANIPUR,14,TAMENGLONG,1402,donations,4
2010,7,HIMACHAL PRADESH,2,KANGRA,202,poverty,1
2010,2,KARNATAKA,29,KODAGU,2925,education,3
2010,4,CHHATTISGARH,22,SURGUJA,2202,education,3
2010,11,BIHAR,10,BANKA,1023,poverty,1
2010,11,ANDHRA PRADESH,28,SRIKAKULAM,2811,poverty,1
2010,3,UTTARAKHAND,5,RUDRAPRAYAG,503,education,3
2010,8,ANDHRA PRADESH,28,SRIKAKULAM,2811,education,3
2010,4,HARYANA,6,FATEHABAD,610,poverty,1
2010,12,TELANGANA,36,NIZAMABAD,3602,health_care,2
2010,2,ASSAM,18,UDALGURI,1826,donations,4
2010,8,NAGALAND,13,PHEK,1308,donations,4
2010,8,DADRA & NAGAR HAVELI,26,DADRA AND NAGAR HAVELI(UT),2601,education,3
2010,4,MIZORAM,15,MAMIT,1501,poverty,1
2010,9,UTTAR PRADESH,9,SHRAWASTI,951,education,3
2010,5,SIKKIM,11,NORTH SIKKIM,1101,poverty,1
2010,11,SIKKIM,11,SOUTH SIKKIM,1103,donations,4
2010,10,RAJASTHAN,8,BANSWARA,828,donations,4
2010,8,CHHATTISGARH,22,SURGUJA,2202,donations,4
2010,10,DELHI,7,NORTH DELHI,702,donations,4
2010,8,CHHATTISGARH,22,SURGUJA,2202,poverty,1
2010,10,KERALA,32,IDUKKI,3209,donations,4
2010,5,CHHATTISGARH,22,SURGUJA,2202,education,3
2010,10,TELANGANA,36,MAHBUBNAGAR,3607,donations,4
2010,11,ODISHA,21,NUAPADA,2125,donations,4
2010,2,JHARKHAND,20,GARHWA,2001,poverty,1
2010,12,MIZORAM,15,CHAMPHAI,1504,education,3
2010,7,ASSAM,18,BAKSA,1824,donations,4
2010,5,UTTAR PRADESH,9,MAHARAJGANJ,957,education,3
2010,12,UTTARAKHAND,5,UTTARKASHI,501,health_care,2
2010,3,KERALA,32,WAYANAD,3203,poverty,1
2010,8,LAKSHADWEEP,31,LAKSHADWEEP,3101,poverty,1
2010,4,CHHATTISGARH,22,JASHPUR,2203,donations,4
2010,2,NAGALAND,13,KIPHIRE,1310,poverty,1
2010,10,ASSAM,18,DARRANG,1808,donations,4
2010,3,JAMMU & KASHMIR,1,KISHTWAR,117,donations,4
2010,2,DAMAN & DIU,25,DIU,2501,poverty,1
2010,12,GUJARAT,24,PANCH MAHALS,2417,health_care,2
2010,8,CHANDIGARH,4,CHANDIGARH,401,health_care,2
2010,3,HARYANA,6,FATEHABAD,610,donations,4
2010,10,ANDHRA PRADESH,28,SRIKAKULAM,2811,education,3
2010,4,UTTAR PRADESH,9,KUSHINAGAR,959,donations,4
2010,4,ODISHA,21,NUAPADA,2125,education,3
2010,3,JHARKHAND,20,GODDA,2008,poverty,1
2010,2,BIHAR,10,MADHUBANI,1005,health_care,2
2010,5,GOA,30,SOUTH GOA,3002,donations,4
2010,10,PUNJAB,3,RUPNAGAR,307,donations,4
2010,4,TRIPURA,16,DHALAI,1603,health_care,2
2010,3,UTTAR PRADESH,9,KUSHINAGAR,959,education,3
2010,4,TELANGANA,36,NALGONDA,3608,poverty,1
2010,6,RAJASTHAN,8,DUNGARPUR,827,donations,4
2010,5,PUNJAB,3,HOSHIARPUR,305,donations,4
2010,2,DADRA & NAGAR HAVELI,26,DADRA AND NAGAR HAVELI(UT),2601,poverty,1
2010,7,PUNJAB,3,HOSHIARPUR,305,education,3
2010,12,ARUNACHAL PRADESH,12,LOWER DIBANG VALLEY,1215,education,3
2010,3,JHARKHAND,20,CHATRA,2003,education,3
2010,1,ANDHRA PRADESH,28,WEST GODAVARI,2815,health_care,2
2010,3,KARNATAKA,29,KOPPAL,2907,poverty,1
2010,1,HARYANA,6,MEWAT,620,donations,4
2010,6,PUNJAB,3,RUPNAGAR,307,poverty,1
2010,7,DELHI,7,NORTH DELHI,702,poverty,1
2010,9,TRIPURA,16,SOUTH TRIPURA,1602,education,3
2010,3,JHARKHAND,20,CHATRA,2003,education,3
2010,7,TELANGANA,36,MAHBUBNAGAR,3607,donations,4
2010,5,MIZORAM,15,CHAMPHAI,1504,education,3
2010,8,WEST BENGAL,19,PASCHIM MEDINIPUR,1920,donations,4
2010,10,PUNJAB,3,RUPNAGAR,307,education,3
2010,1,DELHI,7,NEW DELHI,705,education,3
2010,7,ANDHRA PRADESH,28,SRIKAKULAM,2811,education,3
2010,4,TELANGANA,36,NIZAMABAD,3602,education,3
2010,12,GUJARAT,24,VADODARA,2419,education,3
2010,12,ODISHA,21,KENDRAPARA,2110,education,3
2010,11,BIHAR,10,MADHUBANI,1005,health_care,2
2010,6,UTTARAKHAND,5,BAGESHWAR,508,health_care,2
2010,12,NAGALAND,13,KIPHIRE,1310,education,3
2010,9,PUNJAB,3,RUPNAGAR,307,health_care,2
2010,3,MANIPUR,14,SENAPATI,1401,poverty,1
2010,11,ASSAM,18,UDALGURI,1826,poverty,1
2010,8,PUDUCHERRY,34,YANAM,3401,donations,4
2010,8,GUJARAT,24,PANCH MAHALS,2417,health_care,2
2010,11,UTTAR PRADESH,9,SHRAWASTI,951,donations,4
2010,4,BIHAR,10,MADHUBANI,1005,poverty,1
2010,3,WEST BENGAL,19,KOCH BIHAR,1903,health_care,2
2010,6,CHHATTISGARH,22,JASHPUR,2203,poverty,1
2010,10,ARUNACHAL PRADESH,12,Anjaw,1216,poverty,1
2010,3,ASSAM,18,BAKSA,1824,health_care,2
2010,6,TRIPURA,16,SOUTH TRIPURA,1602,poverty,1
2010,2,CHHATTISGARH,22,SURGUJA,2202,poverty,1
2010,8,KARNATAKA,29,KODAGU,2925,education,3
2010,4,UTTARAKHAND,5,BAGESHWAR,508,health_care,2
2010,6,HIMACHAL PRADESH,2,KANGRA,202,health_care,2
2010,4,TELANGANA,36,NALGONDA,3608,education,3
2010,5,HARYANA,6,FATEHABAD,610,education,3
2010,11,TELANGANA,36,NIZAMABAD,3602,health_care,2
2010,11,UTTAR PRADESH,9,MAHARAJGANJ,957,health_care,2
2010,10,PUDUCHERRY,34,YANAM,3401,education,3
2010,4,ARUNACHAL PRADESH,12,LOWER DIBANG VALLEY,1215,poverty,1
2010,4,NAGALAND,13,PHEK,1308,health_care,2
2010,3,UTTARAKHAND,5,UTTARKASHI,501,poverty,1
2010,10,MADHYA PRADESH,23,DINDORI,2341,poverty,1
2010,10,UTTARAKHAND,5,BAGESHWAR,508,health_care,2
2010,2,MADHYA PRADESH,23,ALIRAJPUR,2349,donations,4
2010,9,KERALA,32,IDUKKI,3209,donations,4
2010,11,HIMACHAL PRADESH,2,BILASPUR (H.P.),208,poverty,1
2010,4,UTTAR PRADESH,9,KUSHINAGAR,959,donations,4
2010,7,HARYANA,6,MAHENDRAGARH,616,poverty,1
2010,5,MADHYA PRADESH,23,ALIRAJPUR,2349,health_care,2
2010,6,BIHAR,10,SAMASTIPUR,1019,health_care,2
2010,9,KERALA,32,IDUKKI,3209,donations,4
2010,2,HIMACHAL PRADESH,2,BILASPUR (H.P.),208,education,3
2010,7,TAMIL NADU,33,DHARMAPURI,3305,poverty,1
2010,10,GOA,30,NORTH GOA,3001,education,3
2010,9,BIHAR,10,MADHUBANI,1005,education,3
2010,4,BIHAR,10,SAMASTIPUR,1019,health_care,2
2010,12,MANIPUR,14,CHURACHANDPUR,1403,health_care,2
2010,1,NAGALAND,13,KIPHIRE,1310,donations,4
2010,5,UTTAR PRADESH,9,KUSHINAGAR,959,health_care,2
2010,2,HARYANA,6,MEWAT,620,education,3
2010,5,UTTAR PRADESH,9,SHRAWASTI,951,poverty,1
2010,10,WEST BENGAL,19,KOCH BIHAR,1903,poverty,1
2010,5,WEST BENGAL,19,BANKURA,1913,health_care,2
2010,5,A & N ISLANDS,35,NICOBARS,3502,donations,4
2010,1,TAMIL NADU,33,PERAMBALUR,3316,education,3
2010,2,CHHATTISGARH,22,JASHPUR,2203,poverty,1
2010,9,DADRA & NAGAR HAVELI,26,DADRA AND NAGAR HAVELI(UT),2601,education,3
2010,11,UTTAR PRADESH,9,MAHARAJGANJ,957,poverty,1
2010,6,LAKSHADWEEP,31,LAKSHADWEEP,3101,poverty,1
2010,11,GUJARAT,24,VALSAD,2425,poverty,1
2010,9,A & N ISLANDS,35,MIDDLE AND NORTH ANDAMANS,3503,education,3
2010,12,JAMMU & KASHMIR,1,KISHTWAR,117,health_care,2
2010,7,DAMAN & DIU,25,DIU,2501,education,3
2010,2,HARYANA,6,FATEHABAD,610,health_care,2
2010,1,NAGALAND,13,KIPHIRE,1310,education,3
2010,12,TELANGANA,36,MAHBUBNAGAR,3607,education,3
2010,2,ARUNACHAL PRADESH,12,Anjaw,1216,donations,4
2010,7,KARNATAKA,29,MANDYA,2922,poverty,1
2010,11,SIKKIM,11,WEST SIKKIM,1102,donations,4
2010,3,ASSAM,18,UDALGURI,1826,donations,4
2010,10,WEST BENGAL,19,BANKURA,1913,education,3
2010,12,BIHAR,10,BANKA,1023,health_care,2
2010,10,PUDUCHERRY,34,YANAM,3401,donations,4
2010,7,RAJASTHAN,8,BARMER,817,health_care,2
2010,1,TRIPURA,16,DHALAI,1603,poverty,1
2010,8,A & N ISLANDS,35,NICOBARS,3502,poverty,1
2010,10,UTTAR PRADESH,9,SHRAWASTI,951,education,3
2010,5,KARNATAKA,29,KOPPAL,2907,donations,4
2010,10,SIKKIM,11,NORTH SIKKIM,1101,health_care,2
2010,3,GUJARAT,24,VADODARA,2419,health_care,2
2010,1,MADHYA PRADESH,23,SIDHI,2317,poverty,1
2010,10,DAMAN & DIU,25,DIU,2501,education,3
2010,5,ASSAM,18,DARRANG,1808,health_care,2
2010,4,RAJASTHAN,8,DUNGARPUR,827,health_care,2
2010,11,BIHAR,10,SAMASTIPUR,1019,donations,4
2010,11,ODISHA,21,KENDRAPARA,2110,poverty,1
2010,10,BIHAR,10,SAMASTIPUR,1019,donations,4
2010,5,HARYANA,6,MAHENDRAGARH,616,health_care,2
2010,3,ARUNACHAL PRADESH,12,WEST KAMENG,1202,poverty,1
2010,5,CHHATTISGARH,22,KANKER,2214,poverty,1
2010,2,TAMIL NADU,33,VILUPPURAM,3307,health_care,2
2010,8,UTTAR PRADESH,9,SHRAWASTI,951,poverty,1
2010,6,TRIPURA,16,SOUTH TRIPURA,1602,poverty,1
2010,1,WEST BENGAL,19,PASCHIM MEDINIPUR,1920,donations,4
2010,1,CHANDIGARH,4,CHANDIGARH,401,education,3
2010,2,ODISHA,21,KENDRAPARA,2110,poverty,1
2010,11,UTTAR PRADESH,9,KUSHINAGAR,959,poverty,1
2010,11,GUJARAT,24,PANCH MAHALS,2417,education,3
2010,3,MADHYA PRADESH,23,ALIRAJPUR,2349,donations,4
2010,11,DAMAN & DIU,25,DIU,2501,education,3
2010,4,LAKSHADWEEP,31,LAKSHADWEEP,3101,poverty,1
2010,9,JHARKHAND,20,GARHWA,2001,poverty,1
2010,12,UTTAR PRADESH,9,MAHARAJGANJ,957,health_care,2
2010,12,UTTAR PRADESH,9,KUSHINAGAR,959,education,3
2010,6,PUNJAB,3,NAWANSHAHR,306,donations,4
2010,8,HARYANA,6,MEWAT,620,donations,4
2010,11,TELANGANA,36,MAHBUBNAGAR,3607,donations,4
2010,7,DAMAN & DIU,25,DAMAN,2502,health_care,2
2010,2,ASSAM,18,UDALGURI,1826,donations,4
2010,5,ASSAM,18,UDALGURI,1826,health_care,2
2010,9,TAMIL NADU,33,DHARMAPURI,3305,poverty,1
2010,2,JHARKHAND,20,GODDA,2008,health_care,2
2010,11,PUNJAB,3,HOSHIARPUR,305,education,3
2010,5,ANDHRA PRADESH,28,WEST GODAVARI,2815,health_care,2
2010,4,ASSAM,18,BAKSA,1824,health_care,2
2010,9,TRIPURA,16,NORTH TRIPURA,1604,poverty,1
2010,1,RAJASTHAN,8,BANSWARA,828,donations,4
2010,1,CHHATTISGARH,22,KANKER,2214,health_care,2
2010,1,ARUNACHAL PRADESH,12,Anjaw,1216,education,3
2010,5,BIHAR,10,MADHUBANI,1005,education,3
2010,11,DELHI,7,NORTH DELHI,702,health_care,2
2010,3,TAMIL NADU,33,VILUPPURAM,3307,donations,4
2010,10,UTTARAKHAND,5,BAGESHWAR,508,health_care,2
2010,6,BIHAR,10,BANKA,1023,poverty,1
2010,4,ARUNACHAL PRADESH,12,Anjaw,1216,education,3
2010,2,TRIPURA,16,NORTH TRIPURA,1604,poverty,1
2010,2,KARNATAKA,29,KOPPAL,2907,education,3
2010,4,TELANGANA,36,MAHBUBNAGAR,3607,donations,4
2010,12,SIKKIM,11,SOUTH SIKKIM,1103,education,3
2010,7,GUJARAT,24,PANCH MAHALS,2417,health_care,2
2010,11,TAMIL NADU,33,VILUPPURAM,3307,donations,4
2010,12,DAMAN & DIU,25,DAMAN,2502,poverty,1
2010,12,UTTARAKHAND,5,RUDRAPRAYAG,503,poverty,1
2010,7,SIKKIM,11,NORTH SIKKIM,1101,education,3
2010,12,TRIPURA,16,NORTH TRIPURA,1604,poverty,1
2010,3,ASSAM,18,DARRANG,1808,health_care,2
2010,5,GUJARAT,24,VALSAD,2425,health_care,2
2010,9,ANDHRA PRADESH,28,PRAKASAM,2818,education,3
2010,1,NAGALAND,13,KIPHIRE,1310,donations,4
2010,5,TAMIL NADU,33,VILUPPURAM,3307,donations,4
2010,9,ODISHA,21,BOUDH,2122,education,3
2010,8,TAMIL NADU,33,DHARMAPURI,3305,education,3
2010,11,ARUNACHAL PRADESH,12,LOWER DIBANG VALLEY,1215,poverty,1
2010,11,TRIPURA,16,SOUTH TRIPURA,1602,poverty,1
2010,1,ANDHRA PRADESH,28,PRAKASAM,2818,education,3
2010,1,TRIPURA,16,NORTH TRIPURA,1604,donations,4
2010,6,ODISHA,21,BOUDH,2122,health_care,2
2010,3,HARYANA,6,MEWAT,620,education,3
2010,4,ASSAM,18,BAKSA,1824,poverty,1
2010,7,UTTAR PRADESH,9,KUSHINAGAR,959,education,3
2010,11,UTTARAKHAND,5,UTTARKASHI,501,health_care,2
2010,12,MEGHALAYA,17,SOUTH GARO HILLS,1703,poverty,1
2010,2,ASSAM,18,UDALGURI,1826,health_care,2
2010,8,SIKKIM,11,NORTH SIKKIM,1101,donations,4
2010,3,MEGHALAYA,17,JAINTIA HILLS,1707,education,3
2010,5,JHARKHAND,20,GARHWA,2001,donations,4
2010,11,HARYANA,6,MEWAT,620,poverty,1
2010,8,ASSAM,18,BAKSA,1824,education,3
2010,12,DELHI,7,NORTH DELHI,702,poverty,1
2010,6,TRIPURA,16,DHALAI,1603,donations,4
2010,10,DAMAN & DIU,25,DAMAN,2502,poverty,1
2010,5,ANDHRA PRADESH,28,WEST GODAVARI,2815,education,3
2010,2,ASSAM,18,UDALGURI,1826,education,3
2010,3,UTTARAKHAND,5,RUDRAPRAYAG,503,education,3
2010,8,TRIPURA,16,NORTH TRIPURA,1604,health_care,2
2010,11,ANDHRA PRADESH,28,SRIKAKULAM,2811,health_care,2
2010,3,TELANGANA,36,NALGONDA,3608,donations,4
2010,12,GUJARAT,24,VADODARA,2419,health_care,2
